營業日期,商品編號,pc_name,會員編號,交易金額
20140723,0302060061,利清爽成人替換式尿片(56042)48p,2020006705,207
20140725,0202040138,美達適元氣綜合維生素B群 10`S/1,1030001955,300
20140701,0202040138,美達適元氣綜合維生素B群 10`S/1,6005001146,0
20140723,0100150031,專業處方每日100元,1030000689,200
20140702,0302040130,滿意寶寶瞬潔乾爽XL42/4B(箱購 1,600910000222,385
20140724,0100150031,專業處方每日100元,1030001378,100
20140724,0100150031,專業處方每日100元,2010007770,100
20140723,0100150031,專業處方每日100元,1030000116,500
20140724,0100150031,專業處方每日100元,1050009075,300
20140726,0100150031,專業處方每日100元,600100003038,300
20140724,0100150167,-Voren 50㎎/非炎腸溶錠/100+1,1050009075,0
20140723,0205070010,羊乳片120'S /400B(1箱40)/40T,0000015212,30
20140701,0304000014,小棉球,0000014243,22
20140724,0100150031,專業處方每日100元,0000013664,100
20140727,0100150031,專業處方每日100元,0000013437,300
20140728,0100150031,專業處方每日100元,600100003145,700
20140710,0501000024,寶寶好康卡折扣金(50),1050012490,-120
20140710,0501000004,育兒補助卡折扣(40),600100002359,-40
20140701,0307130328,牙線如意棒TP-50支/罐/120B,600100003302,18
20140702,0501000029,Happy GO點折抵(1元/3點),1020012778,-26
20140701,0302060071,包大人全功能M號/20片/6B(彩包,600100003302,398
20140727,0501000004,育兒補助卡折扣(40),600100002359,-40
20140728,0501000029,Happy GO點折抵(1元/3點),600100003381,-2
20140710,0501000004,育兒補助卡折扣(40),6001001510,-50
20140710,0501000004,育兒補助卡折扣(40),6001001510,-50
20140724,0202040196,新寶納多孕補錠30`S/20B,6001000501,180
20140701,0304000083,潔皙優質棉花棒200支粗 / 包/24,1030002665,9
20140726,0302040134,金貝貝棉柔透氣紙尿褲XL40+4/4B,1030000686,223
20140726,0200140101,桂格敏兒麥精(纖果順暢)700g/12,1030008417,239
20140725,0100150031,專業處方每日100元,1050000231,500
20140711,0100150031,專業處方每日100元,1030000352,500
20140713,0100150031,專業處方每日100元,6001001939,300
20140728,0100150167,-Voren 50㎎/非炎腸溶錠/100+1,600100003145,0
20140711,0100150167,-Voren 50㎎/非炎腸溶錠/100+1,1030000352,0
20140702,0501000017,廠商折價卷(30元),600910000222,-30
20140709,0109160009,【P】阿桐伯足快好/30B★,600100002137,760
20140711,0305030083,歐克採血針(滅菌)50支/盒/20B,1030001321,188
20140729,0202040138,美達適元氣綜合維生素B群 10`S/1,600100002869,0
20140724,0202010039,修神易6`S/排*50排(ㄧ盒300,1050009075,750
20140724,0304090011,100㏄良碘(30支入),600100003374,50
